縣市,鄉鎮市區,地政事務所,地段名稱,段代碼,段延伸碼,鄉鎮市區代碼,測量方法,測量類別,成圖年月,座標系統,比例尺,數化年月
臺中市,豐原區,豐原,豐原段,2400,0,09,圖解法,修正測量,1974-4,地籍座標,600,2001-10
臺中市,豐原區,豐原,大湳段,2401,0,09,圖解法,日據時代地籍圖,0-0,地籍座標,1200,-
臺中市,豐原區,豐原,下南坑段,2402,無,09,數化轉繪,國有林班地,2007-9,TWD67二度TM座標,5000,-
臺中市,豐原區,豐原,上南坑段,2403,1,09,圖解法,解除林班地,1975-12,地籍座標,1200,2003-03
臺中市,豐原區,豐原,圳寮段(豐原),2404,無,09,查無資料,查無資料,-,-,-,-
臺中市,豐原區,豐原,翁子段,2405,1,09,圖解法,日據時代地籍圖,0-0,地籍座標,1200,2003-03
臺中市,豐原區,豐原,社皮段,2407,無,09,圖解法,日據時代地籍圖,0-0,地籍座標,1200,-
臺中市,豐原區,豐原,烏牛欄段烏牛欄小段,2409,無,09,查無資料,查無資料,-,-,-,-
臺中市,豐原區,豐原,烏牛欄段田心子小段,2410,無,09,查無資料,查無資料,-,-,-,-
臺中市,豐原區,豐原,車路墘段車路墘小段,2411,0,09,圖解法,修正測量,1974-7,地籍座標,600,2001-10
臺中市,豐原區,豐原,車路墘段溝子墘小段,2412,無,09,數值法,市地重劃,2018-10,TWD97二度TM座標,500,-
臺中市,豐原區,豐原,北陽段,2413,無,09,數值法,地籍圖重測,1986-5,TWD67二度TM座標,500,-
臺中市,豐原區,豐原,向陽段,2414,無,09,數值法,地籍圖重測,1986-5,TWD67二度TM座標,500,-
臺中市,豐原區,豐原,中陽段,2415,無,09,數值法,地籍圖重測,1986-5,TWD67二度TM座標,500,-
臺中市,豐原區,豐原,陽明段,2416,無,09,數值法,地籍圖重測,1986-5,TWD67二度TM座標,500,-
臺中市,豐原區,豐原,博愛段,2417,無,09,數值法,地籍圖重測,1986-5,TWD67二度TM座標,500,-
臺中市,豐原區,豐原,東陽段,2418,無,09,數值法,地籍圖重測,1987-5,TWD67二度TM座標,500,-
臺中市,豐原區,豐原,豐東段,2419,無,09,數值法,地籍圖重測,1987-5,TWD67二度TM座標,500,-
